501,397
654,341
253,279
892,195
523,158
375,204
257,401
820,105
111,332
120,214
229,186
765,262
852,288
311,150
237,346
183,181
50,176
412,161
479,164
175,340
754,327
64,75
699,281
711,210
798,191
254,211
610,390
652,137
706,162
941,334
548,449
250,344
465,409
178,125
79,291
882,139
420,109
507,283
95,74
440,257
227,143
353,340
226,233
654,305
92,279
585,357
786,365
134,375
817,268
468,293
467,334
625,133
757,123
251,144
546,115
834,318
488,66
585,214
108,123
560,178
716,128
716,250
684,381
193,281
917,275
472,212
323,104
431,307
745,173
390,387
407,212
802,326
874,343
349,92
866,108
940,178
194,152
362,121
596,413
549,391
288,144
